attribute 0,attribute 1,attribute 2,attribute 3,attribute 4,attribute 5,attribute 6,attribute 7,attribute 8,attribute 9,attribute 10,attribute 11,attribute 12,attribute 13,attribute 14,attribute 15,attribute 16,attribute 17,attribute 18,attribute 19
0.728137643,6.206649897,3.244667627,2.706555919,3.585764459,0.507017275,-0.799129378,1.402475515,1.536549393,-0.966631418,-0.316607487,0.494182194,0.619439498,0.25538516,-1.216982589,0.233050392,-0.254287944,0.126632732,0.457907609,0.435073295
-3.947440021,-0.166140494,-0.179750932,1.653770467,0.670367356,0.762443689,-0.631513895,0.072544723,-0.927130671,-0.415414688,0.987205876,-0.325963798,-0.351121576,0.172956793,0.825749334,0.14719272,-0.449862246,-0.768465832,-0.389881335,1.151171533
6.835250235,-0.650518476,0.399074326,0.736902013,-0.896778103,0.285255691,-0.24230707,-0.03217384,-0.565635397,1.121885106,-0.292078403,-0.017123485,0.830618897,-0.556536373,-1.538407774,-0.468955561,-0.680900117,0.222599326,0.375653208,0.30816665
-7.512461782,0.282340336,-0.398606401,1.780514064,0.250063907,2.186159861,1.391838128,1.497509175,-1.595872461,0.64627986,1.122268241,-0.393730685,0.853885501,0.019188038,-0.626510543,-0.645061508,0.474445932,-0.051232062,-0.543272388,-0.327859479
-4.119024536,0.158353316,0.738920444,1.509239846,-2.216625707,-1.35092608,-0.136719686,0.680243793,-0.391454482,0.651135731,-0.244173065,-0.043361175,0.911990056,-0.218611717,0.880887593,-0.224334521,0.797540156,-0.378427425,-0.446529576,0.571565234
-0.115629007,-2.167836112,-0.591248246,0.322815102,0.072137032,-0.231849944,-0.180292975,-0.725669223,-0.100933025,-0.490753333,-0.524952972,-0.685119227,0.284875418,0.958151333,0.246073712,0.480052946,0.504595118,0.715027455,0.641559555,-1.203382025
6.628456513,-1.539284957,-0.274735083,-0.77900793,0.176535352,-1.893927175,1.11307174,-0.455440483,1.296052748,-0.198939152,-1.491631299,-0.171417996,0.847576021,0.064234098,-0.569375096,0.286201811,-0.99456391,-0.841518749,0.324146854,0.118181368
-4.006814648,-2.056298098,-0.030503568,2.528669944,-0.375639976,-0.734661724,-0.478521665,-0.334155417,1.496470632,-1.30198952,-0.961239124,0.937081854,-0.224203789,0.393519137,-0.344393659,0.764553101,-0.280280653,0.215095843,-0.882186508,0.310460608
-5.56341378,-0.030486597,0.256154897,3.548995116,-1.351675197,-1.346961017,0.917411553,0.024497067,-0.130700894,-0.775132254,-1.257824327,-1.019468576,0.407760616,-1.022954657,-1.320805777,0.431705899,0.166137004,0.917619651,0.247751044,0.216028707
7.466187142,-0.514515166,-1.397850226,0.876686862,1.060009475,-2.890323732,1.503282186,-0.177438587,0.212688273,0.825992966,1.169782211,-0.190144086,1.332142939,-0.976563222,0.25141354,-0.151054907,0.279293098,0.714226892,-0.323682608,0.580718511
