attribute 0,attribute 1,attribute 2,attribute 3,attribute 4,attribute 5,attribute 6,attribute 7,attribute 8,attribute 9
-0.505650464,-1.037617536,-0.518258386,-0.196450327,0.377484838,0.262774715,-0.740872492,-0.088374468,-0.617037183,-0.664134932
6.210027173,-1.54316063,-1.449542034,-2.092748927,2.631071327,1.201000153,0.976182203,0.120571481,-1.301717263,0.126634984
4.537006048,-1.465501419,-0.583581593,0.208384224,0.18011956,-1.684489782,-1.498747032,-0.990259344,0.949798052,-0.037079522
-4.967036382,-2.030799035,-1.081431154,1.854586763,-1.173217322,0.610180406,-0.882681896,-0.360313951,0.523445751,-0.438180085
-1.14277618,7.269078167,-2.452948762,0.236787148,1.278647634,0.681955473,-0.148142895,-3.707505022,-1.665254284,1.274204615
0.204454852,-1.616831265,0.252428056,0.168775989,-0.797565667,-0.034512926,1.250063286,0.526769364,0.145355625,0.559941331
-10.65381986,-1.006517291,-0.330760575,-0.812578158,0.57473916,-1.554559741,1.23735335,0.098025907,0.615099378,0.735440661
-0.762219187,6.215247624,-1.644496812,1.130075046,2.856252054,0.983978462,-0.722787585,-2.792760694,-1.107964109,-0.644091842
5.796015351,-0.263483131,0.275744313,-0.164392883,-0.33345311,-0.037783753,1.083619387,1.067210807,-1.529840943,0.024575331
-8.673489204,-1.265595112,-0.454066839,-0.301310918,0.549827689,-0.196891,-0.5127944,-0.653833962,0.717022835,0.817745487
0.510442283,-1.123643847,-0.920028701,0.110849553,0.186425447,0.096960488,-0.977132921,0.064505503,0.762082631,-0.400909937
-7.805742673,-0.130442165,-0.051096752,0.058125848,0.747684046,-0.000255348,-0.453072008,-0.148162905,-0.245710391,-0.220020465
4.544680191,-1.465020984,-0.014266678,-2.103515208,1.470514264,1.284868925,0.246635269,-0.429221009,-1.052006465,-1.617736334
-0.552491557,2.850627769,6.061298314,-1.968476476,-2.115793216,-1.493716286,0.90579411,0.572437797,-0.137100426,0.300237969
9.276247885,-1.354665295,-0.440888251,0.138084431,-0.099389229,1.011388285,-1.037502769,-0.601031688,-0.147605054,0.947848392
-3.977548529,-1.401656573,-0.090485689,-1.00977529,0.362811807,0.851199587,0.196917542,0.191245011,0.578392649,1.96781302
9.249515627,-0.154334943,0.039765174,0.978321655,-0.280187556,1.255774728,-0.281897269,-0.330804173,1.602682363,0.377173096
-0.287334085,-1.312520793,-0.270057823,0.157534543,0.070681228,-0.407804742,-0.895270836,0.113072784,0.52219773,-1.287430008
-9.997582325,-2.006955176,1.45880915,-1.139629076,-0.663769538,4.778412345,-0.766497757,0.225417385,0.94459385,-0.263959689
8.48651943,-1.522204738,-0.731120766,1.463350804,-0.698129353,0.513145363,-0.247032432,-0.021218082,1.181723529,-1.143869439
-9.480382805,-0.715554487,0.133549727,-0.090634664,1.040115049,0.529983704,-0.205379321,-0.250720493,0.71196153,-0.318156755
-0.115629007,-2.167835995,-0.591250201,0.322719072,0.072094031,-0.23141156,-0.179686411,-0.72272496,-0.101675016,-0.49250967
-0.691422217,3.66634802,5.126416881,-1.456577386,-1.175343128,-1.509217675,0.679462552,1.87357484,-0.465308053,0.594624505
-5.067904168,-0.677900199,-0.80302423,1.420152451,-0.347141543,0.565067468,1.812812535,-0.207908993,0.50413465,-1.405319988
0.046589451,4.487453934,3.687669023,1.157956275,2.674800136,-0.783055117,-2.411326591,2.623514755,0.184885979,-0.830031829
-0.14990051,-1.373743634,-0.241969479,0.106269879,0.501088308,-0.036742481,-1.189877309,-0.433467644,0.176750484,0.514861259
0.13529182,6.699121408,-4.364736775,-1.306833568,-2.088216722,-0.590347611,1.334897116,-1.917449511,0.192504655,1.331244962
8.471020951,-0.65464253,-0.246790182,0.464377647,-0.481184619,1.134316946,-0.852317358,-0.350660412,0.61988556,-0.395629121
3.767430202,-1.40445246,0.327332374,-0.948816584,1.37196394,0.797572902,-0.239141335,-0.130280269,-0.279150306,1.286656101
7.313074368,-1.75186092,0.052279537,0.471427493,-1.442524817,0.523280098,0.826098709,0.234595538,1.297531297,-1.110066493
0.404469354,-0.4464132,0.042654411,0.514794197,0.243547303,-0.448824637,0.381656534,-0.089774483,-1.592418919,0.024823393
-6.921260424,-0.107222716,-1.015099448,-0.702574428,0.426779768,-0.357268274,-0.325858704,-0.305691648,0.776715711,-0.484308273
0.473692047,1.550390936,6.853325249,-3.032799265,-3.512474269,0.489889104,2.178731655,-1.878192739,1.769377796,-0.02764154
-10.01356025,-0.234016966,-0.921443256,-1.265136248,0.616697802,-1.270606727,-1.722135834,-0.966220363,-0.740392854,0.787789891
3.686129587,-1.036692498,-0.528838362,-0.707319974,0.156457622,-1.261254504,-0.425278031,-1.158737574,0.981356084,0.90891387
