attribute 0,attribute 1,attribute 2,attribute 3,attribute 4,attribute 5,attribute 6,attribute 7,attribute 8,attribute 9,attribute 10,attribute 11,attribute 12,attribute 13,attribute 14,attribute 15,attribute 16,attribute 17,attribute 18,attribute 19,attribute 20,attribute 21,attribute 22,attribute 23,attribute 24,attribute 25,attribute 26,attribute 27,attribute 28,attribute 29,attribute 30,attribute 31,attribute 32,attribute 33,attribute 34,attribute 35,attribute 36,attribute 37,attribute 38,attribute 39
-8.268055696,0.265654212,-0.390278778,-0.918319543,0.568508418,-0.935362181,-0.857784978,-0.294853795,-0.8413088,1.01061108,0.137578594,0.95682195,-0.493037901,0.747200531,-0.671698517,0.481715859,0.35487783,0.025062862,-1.006480308,0.9819829,0.079646018,-0.228985494,0.700323623,0.628478814,-0.056618671,0.226592655,-0.103065566,-0.109145018,0.08290926,-0.406632376,-0.188875419,0.381085345,-0.381417403,0.219014867,0.410929776,-0.530561357,0.210597536,-0.519679113,-1.005702067,0.481785866
-0.596103621,-0.980778067,-0.543842293,0.368223473,0.285102433,-0.176253153,1.329338187,0.023137448,-0.127059405,-0.033973165,0.652383105,-0.701707768,0.081979011,-0.149444259,-0.433702932,-1.168044253,0.701363712,-0.054640609,0.411239111,-0.558095543,0.335907925,-0.319301478,-0.687736776,-0.616200988,-1.19739607,-0.860662049,0.02317498,-0.145467212,-0.014933197,0.019100325,-0.267691541,-0.242389725,-0.24607835,-0.436481831,-0.107056831,0.141824272,0.570209529,0.374748938,0.110018924,0.050895433
4.277264913,-0.870801978,-0.891708689,0.814928454,0.244360014,-1.191834108,-0.943193571,-0.54798851,0.715811431,0.325694496,0.973031652,0.414241764,-0.344431912,0.345935983,0.231123304,0.088663751,0.659073668,-0.057391649,-0.550265378,0.396940532,0.251000897,0.107363288,-0.372178213,-0.595153274,0.465315573,1.007471644,-0.216684751,0.171309597,0.278296291,0.074087515,0.862056018,-0.004329583,0.576916669,0.024007227,0.343273091,-0.278637769,0.048687906,-0.499609043,0.07959746,0.339317789
0.216524046,-1.478420583,0.443940524,0.337898091,-0.165678233,0.411453742,-0.574367274,-0.523047984,-0.722580559,1.190290807,0.032819766,-0.804770017,0.043664068,0.35784842,-0.14068853,-1.265051959,-0.109423219,-1.062974795,0.035319486,-0.827301336,0.709543929,0.669507486,-0.752585631,0.794310586,0.30611226,0.645163153,-0.991318827,0.404446814,0.282279937,-0.281115378,-0.114775972,-0.507802573,0.372633376,-0.741533161,-0.109837161,-0.221690603,0.185283408,0.141368731,-0.217944768,0.065727024
4.204503421,-0.275467585,-0.389998305,-2.10210216,1.493306399,1.156832977,-0.727442243,-0.262693934,0.929200025,0.649344787,0.644897669,0.977151165,-0.349900034,0.636791928,0.309428551,0.442439569,-0.449962098,0.874110962,0.617769221,0.18020473,-0.291445157,-0.465960199,-1.229138123,0.520635941,0.300246289,-0.857703076,-0.152377994,0.814109447,0.106372836,-0.350533526,0.123532368,1.078349651,0.107613589,0.100216937,-0.17066151,0.11724715,0.107219486,-0.746968078,0.540688161,0.385554974
-4.915305802,-0.831086739,-0.346914669,0.291090881,0.365757553,-0.702220594,0.430626299,0.369222551,-0.296631008,-0.48426732,-0.708285727,0.158385206,-0.097516566,-0.805543824,-0.976314089,-0.872985125,-0.082587336,-0.258354936,-0.654201388,-0.317297981,0.36894602,0.708300076,-0.329743043,0.577891122,-0.861687711,-0.777258713,-0.920274304,-1.009376709,-0.210993742,0.529262769,-0.091815248,0.47002755,0.350436314,0.412678654,0.187606785,0.212798352,-0.244182379,-0.306820891,-0.151895704,-0.253112623
0.143693281,3.060641902,4.251081261,-0.805031247,-1.497997448,-0.844508009,0.035286963,0.358239222,-0.005385133,0.594121472,0.260086527,-2.035495436,-1.305275033,0.112724116,-0.14327439,-1.042165773,-0.327440343,0.353234311,-1.006985977,-0.345932584,-0.375596059,0.550649961,-0.273051777,-0.499176275,-0.435558549,0.115671406,-0.43406502,-0.506567573,-0.041401558,0.642564668,0.344429103,-0.316811038,-0.440248622,0.025416045,0.213270015,0.372314941,-0.011868491,-0.547859723,-0.453647713,0.034841118
6.048899225,-1.460740603,-0.165225676,-2.446039972,1.576843889,-2.116230692,0.180144951,0.80962069,-0.590884521,0.165582373,-2.350054153,-1.720096511,-0.743464466,1.079513254,0.033947573,0.381585202,1.103793923,-0.949723681,-0.488193979,-0.348611306,-0.376091267,0.213607016,0.21996005,-0.058334307,0.041349863,-0.536856385,1.106347209,-0.325081706,-0.887814369,-0.133497985,-0.498849317,-0.05904764,-0.710814808,-0.667895631,-0.199021019,-0.476366305,0.45845485,0.217777373,0.265291327,-0.255610756
10.02331683,-0.44996261,1.753172603,0.344556122,-0.930246074,0.536026398,-0.506730896,0.037607697,0.391552323,0.145694833,0.15777702,1.322958483,0.630724255,-0.258356561,-0.064913993,0.402535092,-0.138526489,-0.102755881,0.326471652,-0.520931692,0.116784032,-0.646246429,-0.886074695,0.253706126,-0.209784699,-0.774649251,0.099389889,0.098808136,0.191463112,0.441517576,0.014195906,-0.357309458,-0.725728007,0.123355189,0.10940967,0.208595656,-0.342432881,-0.033125272,0.208482112,-0.191632477
0.163901539,-0.692307725,0.327528149,-0.658074037,0.298662091,0.163567588,-0.676909031,0.12161017,-0.956334946,-0.960461017,-0.691360529,-0.339569677,0.363974458,-0.216470593,0.495404314,-0.19949407,-0.563417873,0.220153953,0.419982914,-0.477496108,0.319673273,-0.222905162,0.300211194,0.855747242,0.532903784,0.399636742,0.154326461,-0.107097316,0.571074666,-0.155673667,0.116020641,0.911874003,-0.230792197,-0.405300931,0.085002855,0.66572355,-0.023950579,-0.121143426,0.376177508,0.030620414
