attribute 0,attribute 1,attribute 2,attribute 3,attribute 4
-0.156053786,-1.008937985,-0.519441645,0.153405942,-0.111176116
0.140461817,-0.901615511,0.119898101,0.338397544,-0.027545535
-9.987543944,-0.317765319,-0.800853372,-1.678902351,1.062890986
-0.188079942,8.773609645,-4.122560426,-0.86088592,-1.124909157
-9.423973998,-1.567384571,-0.577563738,-1.324108258,0.468092539
7.466187142,-0.514511492,-1.397831423,0.877241246,1.059563426
0.478036682,-0.581933041,-0.458838026,0.553353119,-0.700622722
0.20060261,2.487298252,5.503773063,-1.517729177,-2.050088212
-4.702927695,-1.929925562,-0.257702903,0.10570642,0.099198525
-5.816407709,-0.412057155,0.105591438,-0.405157199,-0.466339788
5.126710055,-0.599906185,0.142430131,-2.542335051,0.941779797
0.389316105,-0.265373097,-0.880775739,0.172654955,0.608830055
0.029603937,-1.573322768,0.622621956,0.57348459,-0.095491783
4.537006049,-1.465504261,-0.583590841,0.208674299,0.179964241
-8.39153909,-2.377959087,0.388954936,-0.910602073,0.217089631
-0.298089903,4.572673427,-3.611382958,-1.373717442,-2.390952635
-6.634518814,-1.406390021,-0.104923404,0.134279789,0.524147109
0.192637757,4.720238548,1.254137979,1.599641351,3.417095543
4.3290585,-1.695647382,0.49058786,-2.404029854,1.670548729
6.511955373,-1.981923276,0.205325766,0.58460439,0.303028719
0.226192623,-1.342827637,-0.488643571,0.171534269,-0.186960793
0.183265198,7.428312849,3.960750685,2.485198327,4.520645333
8.567695784,-1.157037242,0.303970475,1.105825376,-0.632316306
-4.27311665,-1.26197324,0.114616683,1.804705523,0.392041379
3.237369815,0.051024948,-0.12034802,-1.721408427,0.557202995
-9.028397981,-0.953821345,0.395481168,-2.123603116,0.606064153
-6.611038246,-0.973900206,0.154529558,-1.579621591,0.478336985
8.659858125,-0.985054581,0.398717621,1.130656099,-0.769935569
-9.480382805,-0.715555683,0.133559513,-0.090965396,1.040342693
5.076440912,-1.226874959,0.191758109,-2.575318216,3.079049658
0.530135223,5.376359754,6.390151221,1.246942282,1.008547712
5.78113541,-0.628010384,-1.054540966,0.848756975,-0.403668359
-5.379507562,-0.637400017,-0.044380265,-0.337931059,0.258820185
-10.27243176,-1.746311199,1.333084772,-1.433677287,-0.487252232
4.305123135,-1.853766328,-0.519889776,-2.327881086,1.46279488
-0.388545315,8.293848201,-5.579879006,-2.141091046,-1.783712868
2.711470155,-0.263524803,0.025903411,-1.272655429,0.633853034
-0.087726584,-0.800340228,-0.882925069,0.143426832,-0.052192762
4.636525706,-2.413260458,-0.103763894,-1.110603263,2.050374233
-7.204345252,-2.001861528,-1.372293835,2.633099872,-1.213267686
-0.233226019,0.06665672,-0.102743944,-0.639738278,0.112453093
0.384263872,6.482534715,-3.640931972,0.892416832,-0.9188671
-4.600475479,-0.210458902,0.525807091,0.409363953,0.199584041
-3.88548271,-0.02362161,-0.785661943,2.398829846,-0.729299699
-5.377058487,-1.672281815,0.241163351,0.017661961,1.281535866
